INGR_KOR_NAME,INGR_ENG_NAME,CAS_NO,ORIGIN_MAJOR_KOR_NAME,INGR_SYNONYM
아이소스테아라미도프로필다이메틸아민락테이트,Isostearamidopropyl Dimethylamine Lactate,,이 원료는 락틱애씨드의 아이소스테아라미도프로필다이메틸아민염이다.,이소스테아라미도프로필디메칠아민락테이트
아이소스테아라미도프로필모폴린락테이트,Isostearamidopropyl Morpholine Lactate,,이 원료는 락틱애씨드의 아이소스테아라미도프로필모르폴린염이다.,이소스테아라미도프로필모폴린락테이트
아이소스테아라미도프로필에틸다이모늄에토설페이트,Isostearamidopropyl Ethyldimonium Ethosulfate,,이 원료는 주로 다음의 구조를 갖는 4급 암모늄염이다.,이소스테아라미도프로필에칠디모늄에토설페이트
아이소스테아레스-10,Isosteareth-10,,이 원료는 주로 다음의 구조를 갖는 아이소스테아릴알코올의 폴리에틸렌글라이콜에터이다. n은 평균 10이다.,이소스테아레스-10
아이소스테아레스-15,Isosteareth-15,,이 원료는 주로 다음의 구조를 갖는 아이소스테아릴알코올의 폴리에틸렌글라이콜 에터이다. n은 평균 15이다.,이소스테아레스-15
아이소스테아레스-20,Isosteareth-20,,이 원료는 주로 다음의 구조를 갖는 아이소스테아릴알코올의 폴리에틸렌글라이콜 에터이다. n은 평균 20이다. .,이소스테아레스-20
아이소스테아로일하이드롤라이즈드실크,Isostearoyl Hydrolyzed Silk,,이 원료는 아이소스테아릭애씨드클로라이드와 하이드롤라이즈드실크의 축합물이다.,이소스테아로일하이드롤라이즈드실크
노랑만병초잎추출물,Rhododendron Chrysanthum Leaf Extract,,이 원료는 노랑만병초 Rhododendron chrysanthum의 잎에서 추출한 것이다.,노란만병초잎추출물
아이소스테아로일하이드롤라이즈드콜라겐,Isostearoyl Hydrolyzed Collagen,,이 원료는 아이소스테아릭애씨드클로라이드와 가수분해 된 콜라겐의 축합반응물이다.,이소스테아로일하이드롤라이즈드콜라겐
아이소스테아릭애씨드,Isostearic Acid,,이 원료는 탄소 18개인 분지형 지방족 애씨드의 혼합물이다.,이소스테아릭애씨드
아이소스테아릴네오펜타노에이트,Isostearyl Neopentanoate,,이 원료는 주로 아이소스테아릴알코올과 네오펜타노익애씨드의 에스터이다.,이소스테아릴네오펜타노에이트
아이소스테아릴다이글리세릴석시네이트,Isostearyl Diglyceryl Succinate,,이 원료는 아이소스테아릴알코올 및 평균 2몰의 글리세린폴리머와 석시닉애씨드와의 혼합 에스터이다.,이소스테아릴디글리세릴석시네이트
아이소스테아릴락테이트,Isostearyl Lactate,,이 원료는 주로 다음의 구조를 갖는 아이소스테아릴알코올과 락틱애씨드의 에스터이다.,이소스테아릴락테이트
아이소스테아릴리놀리에이트,Isostearyl Linoleate,,이 원료는 아이소스테아릴알코올과 리놀레익애씨드의 에스터이다.,이소스테아릴리놀리에이트
아이소스테아릴베헤네이트,Isostearyl Behenate,,이 원료는 다음의 구조를 갖는 아이소스테아릴알코올과 베헤닉애씨드의 에스터이다.,이소스테아릴베헤네이트
아이소스테아릴벤조에이트,Isostearyl Benzoate,,이 원료는 다음의 구조를 갖는 아이소스테아릴알코올과 벤조익애씨드의 에스터이다.,이소스테아릴벤조에이트
아이소스테아릴세바케이트,Isostearyl Sebacate,,이 원료는 다음의 구조를 갖는 아이소스테아릴알코올과 세바식애씨드의 하프에스터이다.,이소스테아릴세바케이트
아이소스테아릴아세틸글루타미네이트,Isostearyl Acetyl Glutaminate,,이 원료는 아이소스테아릴알콜과 아세틸글루타민의 에스터이다.,이소스테아릴아세틸글루타미네이트
감추출물,Diospyros Kaki Fruit Extract,,이 원료는 감나무 Diospyros kaki의 열매에서 추출한 것이다.,
노랑수련잎추출물,Nuphar Luteum Leaf Extract,,이 원료는 노랑수련 Nuphar luteum의 잎에서 추출한 것이다.,
아이소스테아릴알코올,Isostearyl Alcohol,,이 원료는 탄소 18개인 가지사슬형 지방족 알코올의 혼합물이다.,이소스테아릴알코올
아이소스테아릴에틸이미다졸리늄에토설페이트,Isostearyl Ethylimidazolinium Ethosulfate,,이 원료는 주로 다음의 구조를 갖는 4급 암모늄염이다.,이소스테아릴에칠이미다졸리늄에토설페이트
아이소스테아릴아이소스테아레이트,Isostearyl Isostearate,,이 원료는 아이소스테아릴알코올과 아이소스테아릭애씨드의 에스터이다.,이소스테아릴이소스테아레이트
아이소스테아릴팔미테이트,Isostearyl Palmitate,,이 원료는 주로 아이소스테아릴알코올과 팔미틱애씨드의 에스터이다.,이소스테아릴팔미테이트
아이소스테아릴하이드록시스테아레이트,Isostearyl Hydroxystearate,,이 원료는 주로 다음의 구조를 갖는 아이소스테아릴알코올과 하이드록시스테아릭애씨드의 에스터이다.,이소스테아릴하이드록시스테아레이트
이소아밀p-메톡시신나메이트,Isoamyl p-Methoxycinnamate,,이 원료는 주로 다음의 구조를 갖는 이소아밀알코올과 p-메톡시신나믹애씨드의 에스터이다.,
아이소아밀신나메이트,Isoamyl Cinnamate,,이 원료는 다음의 구조를 갖는 유기화합물이다.,이소아밀신나메이트
아이소아밀아세테이트,Isoamyl Acetate,,이 원료는 다음의 구조를 갖는 아이소아밀알코올과 아세틱애씨드의 에스터이다.,이소아밀아세테이트
C10-40아이소알킬아미도프로필에틸디모늄에토설페이트,C10-40 Isoalkylamidopropylethyldimonium Ethosulfate,,이 원료는 주로 다음의 구조를 갖는 4급 암모늄염이다. R은 C10-40의 아이소알킬 그룹이다.,C10-40이소알킬아미도프로필에칠디모늄에토설페이트
C10-40아이소알킬애씨드,C10-40 Isoalkyl Acid,,"이 원료는 라놀린애씨드로부터 분리된 탄소 10-40개인 알킬 사슬을 갖는 분지,포화지방산의 혼합물이다.",C10-40이소알킬애씨드
옐로우스위트클로버추출물,Melilotus Officinalis Extract,,이 원료는 노랑스위트클로버 Melilotus officinalis의 전초에서 추출한 것이다.,노랑스위트클로버추출물
C14-28아이소알킬애씨드,C14-28 Isoalkyl Acid,,"이 원료는 탄소 14-28개인 알킬사슬을 갖는 가지사슬형, 포화지방산의 혼합물이다.",C14-28이소알킬애씨드
C10-40아이소알킬애씨드콜레스테롤에스터,C10-40 Isoalkyl Acid Cholesterol Esters,,이 원료는 탄소 10-40 개를 갖는 가지 사슬 알킬애씨드와 콜레스테롤의 에스터의 혼합물이다.,"C10-4-아이소알킬애씨드콜레스테롤에스터,C10-40이소알킬애씨드콜레스테롤에스터"
C10-40아이소알킬애씨드트라이글리세라이드,C10-40 Isoalkyl Acid Triglyceride,,이 원료는 C10-40 아이소알킬 애씨드와 글리세린의 트라이에스터이다.,C10-40이소알킬애씨드트리글리세라이드
아이소에이코산,Isoeicosane,,이 원료는 탄소 20개의 분지형 지방족 탄화수소이다.,이소에이코산
아이소유제놀,Isoeugenol,,이 원료는 다음의 구조를 갖는 치환된 페놀이다.,이소유제놀
아이소쿼시트린,Isoquercitrin,,이 원료는 다음의 구조를 갖는 유기화합물이다.,이소쿼시트린
아이소트라이데실미리스테이트,Isotridecyl Myristate,,이 원료는 다음의 구조를 갖는 미리스틱애씨드와 아이소트라이데실알코올의 에스터이다.,이소트리데실미리스테이트
아이소트라이데실아이소노나노에이트,Isotridecyl Isononanoate,,이 원료는 다음의 구조를 갖는 아이소트라이데실알코올과 아이소노나노익애씨드의 에스터이다.,"아이소트라이데실아아이소노나노에이트,이소트리데실이소노나노에이트"
C7-8아이소알케인,C7-8 Isoalkane,"90622-56-3,70024-92-9,64741-66-8",이 원료는 탄소 7또는8개인 알킬 사슬을 갖는 가지사슬형 지방족 탄화수소의 혼합물이다.,C7-8이소파라핀
C8-9아이소알케인,C8-9 Isoalkane,"64741-66-8,90622-56-3",이 원료는 탄소 8또는 9개인 알킬 사슬을 갖는 가지사슬형 지방족 탄화수소의 혼합물이다.,C8-9이소파라핀
노루궁뎅이버섯추출물,Hericium Erinaceum (Mushroom) Extract,,이 원료는 버섯인 노루궁뎅이버섯(Mushroom) Hericium erinaceum에서 추출한 것이다.,
C10-11아이소알케인,C10-11 Isoalkane,"64742-48-9^90622-57-4,90622-57-4",이 원료는 탄소 10-11개인 알킬 사슬을 갖는 가지사슬형 지방족 탄화수소의 혼합물이다.,C10-11이소파라핀
C10-13아이소알케인,C10-13 Isoalkane,"64742-48-9,68551-17-7",이 원료는 탄소 10-13개인 알킬 사슬을 갖는 가지사슬형 지방족 탄화수소의 혼합물이다.,C10-13이소파라핀
C11-12아이소알케인,C11-12 Isoalkane,"64742-48-9,90622-57-4",이 원료는 탄소 11-12개인 알킬사슬을 갖는 가지사슬형 지방족 탄화수소의 혼합물이다.,C11-12이소파라핀
C11-13아이소알케인,C11-13 Isoalkane,"64742-48-9,90622-58-5",이 원료는 탄소 11-13개인 알킬사슬을 갖는 가지사슬형 지방족 탄화수소의 혼합물이다.,C11-13이소파라핀
C13-14아이소알케인,C13-14 Isoalkane,64742-47-8,이 원료는 탄소 13또는 14개인 알킬 사슬을 갖는 가지사슬형 지방족 탄화수소의 혼합물이다.,C13-14이소파라핀
C13-16아이소알케인,C13-16 Isoalkane,"4742-47-8,68551-20-2",이 원료는 탄소 13-16개인 알킬 사슬을 갖는 가지사슬형 지방족 탄화수소의 혼합물이다.,C13-16이소파라핀
아이소펜탄,Isopentane,,이 원료는 다음의 구조를 갖는 탄화수소이다.,이소펜탄
아이소펜틸다이올,Isopentyldiol,,이 원료는 다음의 구조를 갖는 다이올이다.,이소펜틸디올
아이소풀렉올,Isopulegol,,이 원료는 다음의 구조를 갖는 유기화합물이다.,이소풀렉올
아이소프로필라놀레이트,Isopropyl Lanolate,,이 원료는 아이소프로필알코올과 라놀린애씨드의 에스터이다.,이소프로필라놀레이트
노르다이하이드로구아이아레틱애씨드,Nordihydroguaiaretic Acid,,이 원료는 다음의 구조를 갖는 유기화합물이다.,노르디하이드로구아이아레틱애씨드
아이소프로필라우레이트,Isopropyl Laurate,,이 원료는 주로 다음의 구조를 갖는 아이소프로필알코올과 라우릭애씨드의 에스터이다.,이소프로필라우레이트
아이소프로필라우로일사코시네이트,Isopropyl Lauroyl Sarcosinate,,이 원료는 다음의 구조를 갖는 유기화합물이다.,이소프로필라우로일사코시네이트
아이소프로필리놀리에이트,Isopropyl Linoleate,,이 원료는 주로 다음의 구조를 갖는 아이소프로필알코올과 리놀레익애씨드의 에스터이다.,이소프로필리놀리에이트
"4,4'-아이소프로필리덴다이페놀/에피클로로하이드린코폴리머","4,4'-Isopropylidenediphenol/Epichlorohydrin Copolymer",,"이 원료는 4,4'-아이소프로필리덴다이페놀과 에피클로로하이드린 모노머의 공중합체이다.","4,4'-이소프로필리덴디페놀/에피클로로하이드린코폴리머"
아이소프로필미리스테이트,Isopropyl Myristate,,이 원료는 주로 다음의 구조를 갖는 아이소프로필알코올과 미리스틱애씨드의 에스터이다.,이소프로필미리스테이트
아이소프로필스테아레이트,Isopropyl Stearate,,이 원료는 주로 다음의 구조를 갖는 아이소프로필알코올과 스테아릭애씨드의 에스터이다.,이소프로필스테아레이트
아이소프로필아민도데실벤젠설포네이트,Isopropylamine Dodecylbenzenesulfonate,,이 원료는 도데실벤젠설포닉애씨드의 아아이소프로필아민염으로 주로 다음의 구조를 갖는다.,이소프로필아민도데실벤젠설포네이트
아이소프로필아세테이트,Isopropyl Acetate,,이 원료는 이소프로필알코올과 아세틱애씨드의 에스터로서 주로 다음의 구조를 갖는다.,이소프로필아세테이트
아이소프로필알코올,Isopropyl Alcohol,,이 원료는 다음의 구조를 갖는 지방족 알코올이다.,이소프로필알코올
아이소프로필아이소스테아레이트,Isopropyl Isostearate,,이 원료는 아이소프로필알코올과 아이소스테아릭애씨드의 에스터로서 주로 다음의 구조를 갖는다.,이소프로필이소스테아레이트
노방덩굴줄기추출물,Solanum Dulcamara Stem Extract,,이 원료는 노방덩굴 Solanum dulcamara의 줄기에서 추출한 것이다,
아이소프로필티타늄트라이아이소스테아레이트,Isopropyl Titanium Triisostearate,,이 원료는 다음의 구조를 갖는 유기화합물이다.,이소프로필티타늄트리이소스테아레이트
아이소프로필티타늄트라이아이소스테아레이트/트라이에톡시카프릴릴실레인크로스폴리머,Isopropyl Titanium Triisostearate/Triethoxycaprylylsilane Crosspolymer,,이 원료는 아이소프로필티타늄트라이아이소스테아레이트와 트라이에톡시카프릴릴실레인이 반응하여 얻은 것이다.,이소프로필티타늄트리이소스테아레이트/트리에톡시카프릴릴실란크로스폴리머
아이소프로필파라벤,Isopropylparaben,,이 원료는 다음의 구조를 갖는 아이소프로필알코올과 p-하이드록시벤조익애씨드의 에스터이다.,이소프로필파라벤
아이소프로필C12-15-알케스-9카복실레이트,Isopropyl C12-15-Alketh-9 Carboxylate,,"이 원료는 C12-15 알케스-9에서 얻은 카복실릭애씨드의 아이소프로필에스터이다. C12-15 알케스-9는 평균 8이며, R은 C12-15 알킬그룹이다.",이소프로필C12-15파레스-9카복실레이트
아이소프로필팔미테이트,Isopropyl Palmitate,,이 원료는 아이소프로필알코올과 팔미틱애씨드의 에스터이다. 주로 다음의 구조를 갖는다.,이소프로필팔미테이트
아이소프로필피피지-2-이소데세스-7카복실레이트,Isopropyl PPG-2 Isodeceth-7 Carboxylate,,이 원료는 주로 다음의 구조를 갖는 유기화합물이다.,이소프로필피피지-2-이소데세스-7카복실레이트
아이소프로필호호베이트,Isopropyl Jojobate,,이 원료는 아이소프로필알코올과 호호바오일로부터 유래된 애씨드의 에스터이다.,이소프로필호호베이트
아이소헥사데칸,Isohexadecane,,이 원료는 탄소 16개의 분지형 지방족 탄화수소이다.,이소헥사데칸
이크타몰,Ichthammol,,"이 원료는 광물매장층의 유출물을 황산화(sulfation) 및 암모니아화(ammoniation)하여 얻은 유기화합물이다. 이것은 포화 및 불포화 탄화수소, 질소성 염기, 산 및 몇가지 티오펜유도체를 함유한다.",
이탈리아센나잎추출물,Cassia Italica Leaf Extract,,이 원료는 이탈리아센나 (Cassia italica)의 잎에서 추출한 것이다.,
노티드랙추출물,Ascophyllum Nodosum Extract,,이 원료는 조류의 일종인 노티드랙 Ascophyllum nodosum에서 추출한 것이다.,
이테야자꽃/씨추출물,Mauritia Flexuosa Flower/Seed Extract,,이 원료는 이테야자 Mauritia flexuosa의 꽃과 씨에서 추출한 것이다.,
이테야자열매오일,Mauritia Flexuosa Fruit Oil,,이 원료는 이테야자 (Mauritia flexuosa)의 열매에서 추출한 휘발성 오일이다.,
익모초꽃/잎/줄기추출물,Leonurus Sibiricus Flower/Leaf/Stem Extract,,"이 원료는 익모초 Leonurus sibiricus의 꽃, 잎 및 줄기에서 추출한 것이다.",익모초추출물
인도멀구슬나무씨오일,Melia Azadirachta Seed Oil,,이 원료는 인도멀구슬나무(님나무) (Melia azadirachta)의 씨를 압착하여 얻은 오일이다.,
인도멀구슬나무씨추출물,Melia Azadirachta Seed Extract,,이 원료는 인도멀구슬나무(님나무) (Melia azadirachta)의 씨에서 추출한 것이다.,
인도멀구슬나무잎추출물,Melia Azadirachta Leaf Extract,,이 원료는 인도멀구슬나무(님나무) (Melia azadirachta)의 잎에서 추출한 것이다.,
인도멀구슬나무추출물,Melia Azadirachta Extract,,이 원료는 인도멀구슬나무(님나무) (Melia azadirachta)에서 추출한 것이다.,
인도목향뿌리가루,Inula Racemosa Root Powder,,이 원료는 Inula racemosa의 뿌리를 건조시켜 얻은 가루이다.,
보스웰리아검,Boswellia Serrata Gum,,이 원료는 보스웰리아 Boswellia Serrata의 껍질에서 얻은 수지이다.,인도유향검
보스웰리아수지추출물,Boswellia Serrata Resin Extract,,이 원료는 보스웰리아 Boswellia Serrata의 수지에서 추출한 것이다.,인도유향수지추출물
녹나무껍질오일,Cinnamomum Camphora (Camphor) Bark Oil,,이 원료는 녹나무(Camphor) Cinnamomum camphora의 나무껍질에서 얻은 휘발성 오일이다.,
보스웰리아오일,Boswellia Serrata Oil,,이 원료는 보스웰리아 Boswellia Serrata에서 얻어진 오일이다.,인도유향오일
보스웰리아추출물,Boswellia Serrata Extract,,이 원료는 보스웰리아 Boswellia Serrata의 전초에서 추출한 것이다.,인도유향추출물
인디고추출물,Indigofera Tinctoria Extract,,이 원료는 인디고 Indigofera tinctoria의 전초에서 추출한 것이다.,인도쪽추출물
인도칸나뿌리추출물,Canna Indica Root Extract,,이 원료는 인도칸나 (Canna indica)의 뿌리줄기에서 추출한 것이다.,
바테리아 인디카씨버터,Vateria Indica Seed Butter,,이 원료는 Vateria Indica의 씨에서 얻은 지방이다.,인도코팔나무씨버터
인도키노나무껍질추출물,Pterocarpus Marsupium Bark Extract,,이 원료는 인도키노나무 (Pterocarpus marsupium)의 껍질에서 추출한 것이다.,
인돌아세틱애씨드,Indole Acetic Acid,,이 원료는 다음의 구조를 갖는 이종사슬 화합물이다.,
허니서클꽃추출물,Lonicera Caprifolium (Honeysuckle) Flower Extract,,이 원료는 허니서클(Honeysuckle) Lonicera caprifolium의 꽃에서 추출한 것이다.,인동덩굴꽃추출물
인동덩굴잎추출물,Lonicera Japonica (Honeysuckle) Leaf Extract,,이 원료는 인동덩굴 (Lonicera japonica)의 잎에서 추출한 것이다.,
허니서클추출물,Lonicera Caprifolium (Honeysuckle) Extract,,이 원료는 허니서클(Honeysuckle) Lonicera Caprifolium의 전초에서 추출한 것이다.,인동덩굴추출물
녹나무잎추출물,Cinnamomum Camphora (Camphor) Leaf Extract,,이 원료는 녹나무(Camphor) Cinnamomum camphora의 잎에서 추출한 것이다.,
엠블릭열매,Emblica Officinalis Fruit,,이 원료는 엠블릭 Emblica officinalis의 열매이다.,인디언구스베리열매
인디안구스베리열매추출물,Phyllanthus Emblica Fruit Extract,,이 원료는 인디안구스베리 Phyllanthus emblica의 열매에서 추출한 것이다.,인디언구스베리열매추출물
인디안구스베리추출물,Phyllanthus Emblica Extract,,이 원료는 인디안구스베리 Phyllanthus emblica의 지상부에서 추출한 것이다.,인디언구스베리추출물
인삼가루,Panax Ginseng Root Powder,"72480-62-7,1449115-64-3",이 원료는 인삼 Panax ginseng의 뿌리를 건조하여 가루로 한 것이다.,
인삼,Panax Ginseng Root,"72480-62-7,1449115-64-3",이 원료는 인삼 Panax ginseng의 뿌리이다.,인삼뿌리
인삼수,Panax Ginseng Root Water,"72480-62-7,1449115-64-3",이 원료는 인삼 Panax ginseng의 뿌리를 수증기 증류하여 얻은 수용액이다.,
인삼추출물,Panax Ginseng Root Extract,"72480-62-7,1449115-64-3",이 원료는 인삼 (Panax ginseng)의 뿌리에서 추출한 것이다.,
왜당귀뿌리수,Angelica Acutiloba Root Water,,이 원료는 일당귀 Angelica acutiloba의 뿌리를 수증기 증류하여 얻은 수용액이다.,일당귀수
왜당귀뿌리추출물,Angelica Acutiloba Root Extract,,이 원료는 일당귀 Angelica acutiloba의 뿌리에서 추출한 것이다.,일당귀추출물
일라이트,Illite,,이 원료는 운모보다 더 많은 격자수를 함유하며 포타슘 함량은 더 낮은 점토 크기의 운모류이다.,
녹두가루,Phaseolus Radiatus Seed Powder,,이 원료는 차나무(녹차) Camellia Sinensis의 건조된 토엽에서 얻은 가루이다.,
일랑일랑꽃오일,Cananga Odorata Flower Oil,,이 원료는 일랑일랑 (Cananga odorata)의 꽃에서 추출한 휘발성 오일이다.,
일랑일랑꽃추출물,Cananga Odorata Flower Extract,,이 원료는 일랑일랑 (Cananga odorata)의 꽃에서 추출한 것이다.,
쿠네아타산사열매추출물,Crataegus Cuneata Fruit Extract,,이 원료는 쿠네아타산사 Crataegus cuneata의 열매에서 추출한 것이다.,일본산사나무열매추출물
입술연지수선화꽃왁스,Narcissus Poeticus Flower Wax,,이 원료는 입술연지수선화 Narcissus poeticus의 꽃에서 얻은 왁스이다,입술연지수선꽃왁스
입술연지수선화꽃추출물,Narcissus Poeticus Flower Extract,,이 원료는 입술연지수선화 Narcissus poeticus의 꽃에서 추출한 것이다.,입술연지수선꽃추출물
잇꽃씨오일,Carthamus Tinctorius (Safflower) Seed Oil,,이 원료는 잇꽃 (Carthamus tinctorius)의 씨에서 얻은 유성의 액이다.,
잇꽃씨추출물,Carthamus Tinctorius (Safflower) Seed Extract,,이 원료는 잇꽃 (Carthamus tinctorius)의 씨에서 추출한 것이다.,
잇꽃올레오좀,Carthamus Tinctorius (Safflower) Oleosomes,,이 원료는 잇꽃 (Carthamus tinctorius)의 오일에서 분리된 올레오좀이다.,
잉가 알바껍질추출물,Inga Alba Bark Extract,,이 원료는 잉가 알바 (Inga alba)의 껍질에서 추출한 것이다.,
잎새버섯균사체발효여과추출물,Grifola Frondosa (Maitake) Mycelium Ferment Filtrate Extract,,이 원료는 잎새버섯 (Grifola frondosa) 균사체의 발효 여과물에서 추출한 것이다.,
녹두씨추출물,Phaseolus Radiatus Seed Extract,,이 원료는 녹두 Phaseolus radiatus의 씨에서 추출한 것이다.,녹두추출물
잎새버섯추출물,Grifola Frondosa Extract,,이 원료는 잎새버섯 (Grifola frondosa)의 전초에서 추출한 것이다.,
자귀나무껍질추출물,Albizia Julibrissin Bark Extract,,이 원료는 자귀나무 Albizia julibrissin의 나무 껍질에서 추출한 것이다.,
지치뿌리추출물,Lithospermum Erythrorhizon Root Extract,,이 원료는 지치 Lithospermum erythrorhizon의 뿌리에서 추출한 것이다.,자근추출물
자두추출물,Prunus Salicina Fruit Extract,,이 원료는 자두나무 (Plum) Prunus salicina의 열매에서 추출한 것이다.,
자목련꽃추출물,Magnolia Liliflora Flower Extract,,이 원료는 자목련 (Magnolia liliflora)의 꽃에서 추출한 것이다.,
자몽껍질오일,Citrus Paradisi (Grapefruit) Peel Oil,,이 원료는 자몽 (Citrus paradisi)의 껍질을 압착하여 얻은 휘발성 오일이다.,
자몽즙,Citrus Paradisi (Grapefruit) Juice,,이 원료는 자몽(Grapefruit) Citrus paradisi 의 신선한 과육을 압착하여 얻은 액이다.,
자몽추출물,Citrus Paradisi (Grapefruit) Fruit Extract,,이 원료는 자몽 (Citrus paradisi)의 열매에서 추출한 것이다.,
자바투메릭뿌리추출물,Curcuma Xanthorrhiza Root Extract,,이 원료는 자바투메릭 Curcuma xanthorrhiza의 뿌리에서 추출한 것이다.,자바강황추출물
자색201호,"Alizurine Purple SS,CI 60725",,이 원료는 화학적으로 다음의 구조를 갖는 안트라퀴논계 색소이다.,
감태추출물,Ecklonia Cava Extract,,이 원료는 조류의 일종인 감태 Ecklonia cava에서 추출한 것이다.,
자색401호,"Alizurol Purple,CI 60730",,이 원료는 화학적으로 다음의 구조를 갖는 안트라퀴논계 색소이다.,
소엽잎추출물,Perilla Frutescens Leaf Extract,,이 원료는 소엽 Perilla frutescens의 잎에서 추출한 것이다.,자소엽추출물
자수정가루,Amethyst Powder,,이 원료는 주로 실리콘디옥사이드로 구성된 미네랄이다.,
개미취뿌리/뿌리줄기추출물,Aster Tataricus Root/Rhizome Extract,,이 원료는 개미취 Aster tataricus 의 뿌리 및 뿌리줄기에서 추출한 것이다.,자완추출물
자운영씨추출물,Astragalus Sinicus Seed Extract,,이 원료는 자운영 (Astragalus sinicus)의 씨에서 추출한 것이다.,
자운영추출물,Astragalus Sinicus Extract,,이 원료는 자운영 (Astragalus sinicus)의 전초에서 추출한 것이다.,
자이언트켈프,Macrocystis Pyrifera (Kelp),,이 원료는 대형 갈조류인 자이언트켈프 (Macrocystis pyriferae)에서 얻은 수산물이다.,
자이언트켈프단백질,Macrocystis Pyrifera (Kelp) Protein,,이 원료는 대형 갈조류인 자이언트켈프 (Macrocystis pyriferae) 유래의 단백질이다,
자이언트켈프추출물,Macrocystis Pyrifera (Kelp) Extract,,이 원료는 대형 갈조류의 일종인 자이언트켈프 Macrocystis pyriferae에서 추출한 것이다.,
자일렌,Xylene,,이 원료는 다음의 구조를 갖는 방향족화합물의 이성질체 혼합물이다.,
녹색3호,"Fast Green FCF,CI 42053",,이 원료는 화학적으로 다음의 구조를 갖는 트라이페닐메탄계 색소이다.,
자일로바이오스,Xylobiose,,"이 원료는 -1, -4 결합으로 연결된 2몰의 자일로오스로 구성된 디사카라이드이다.",
자일로오스,Xylose,,이 원료는 다음의 구조를 갖는 당이다.,
자일리톨,Xylitol,,이 원료는 다음의 구조를 갖는 펜타하이드릭알코올이다.,
자일리틸글루코사이드,Xylitylglucoside,,이 원료는 다음의 구조를 갖는 유기화합물이다.,
만주자작나무껍질/잎추출물,Betula Alba Bark/Leaf Extract,,이 원료는 만주자작나무 Betula alba의 잎 및 껍질에서 추출한 것이다.,자작나무껍질/잎추출물
만주자작나무수액,Betula Alba Juice,,이 원료는 자작나무Betula Alba의 수액이다.,자작나무수액
만주자작나무오일,Betula Alba Oil,,이 원료는 만주자작나무 Betula Alba에서 얻어진 휘발성 오일이다.,자작나무오일
만주자작나무수,Betula Alba Leaf Water,,이 원료는 만주자작나무 Betula Alba의 잎에서 얻어져 스팀증류된 수용성 용액이다.,자작나무잎수
만주자작나무잎추출물,Betula Alba Leaf Extract,,이 원료는 만주자작나무 Betula alba의 잎에서 추출한 것이다.,자작나무잎추출물
자주개자리씨가루,Medicago Sativa (Alfalfa) Seed Powder,,이 원료는 자주개자리 (Medicago sativa)의 씨를 건조하여 얻은 가루이다.,
녹색201호,"Alizarine Cyanine Green F,CI 61570",,이 원료는 화학적으로 다음의 구조를 갖는 안트라퀴논계 색소이다.,
자주개자리잎추출물,Medicago Sativa (Alfalfa) Leaf Extract,,이 원료는 자주개자리 (Medicago sativa)의 잎에서 추출한 것이다.,
자주개자리추출물,Medicago Sativa (Alfalfa) Extract,,이 원료는 자주개자리 (Medicago sativa)의 전초에서 추출한 것이다.,
자주천인국꽃/잎/줄기수,Echinacea Purpurea Flower/Leaf/Stem Water,,"이 원료는 자주천인국 (Echinacea purpurea)의 꽃, 잎 및 줄기를 수증기 증류하여 얻은 수용액이다.",
자주천인국뿌리추출물,Echinacea Purpurea Root Extract,,이 원료는 자주천인국 (Echinacea purpurea)의 뿌리에서 추출한 것이다.,
자주천인국잎/뿌리추출물,Echinacea Purpurea Leaf/Root Extract,,이 원료는 자주천인국 (Echinacea purpurea)의 잎 및 뿌리에서 추출한 것이다.,
자주천인국추출물,Echinacea Purpurea Extract,,이 원료는 자주천인국 (Echinacea purpurea)의 전초에서 추출한 것이다.,
줄작두콩열매추출물,Canavalia Gladiata Fruit Extract,,이 원료는 줄작두콩 Canavalia gladiata의 열매(콩꼬투리)에서 추출한 것이다.,작두콩추출물
작약꽃추출물,"Paeonia Albiflora Flower Extract,Paeonia Lactiflora Flower Extract",,이 원료는 작약 Paeonia lactiflora(=Paeonia albiflora)의 꽃에서 추출한 것이다.,
녹색202호,"Quinizarine Green SS,CI 61565",,이 원료는 화학적으로 다음의 구조를 갖는 안트라퀴논계 색소이다.,
우슬추출물,Achyranthes Bidentata Root Extract,,이 원료는 우슬 Achyranthes bidentata의 뿌리에서 추출한 것이다.,작은쇠무릎뿌리추출물
잔탄검,Xanthan Gum,,이 원료는 콩 불마름병균 (Xanthomonas campestris)으로 탄수화물을 순수배양 발효하여 얻은 고분자량의 헤테로폴리사카라이드검이다.,
장미꽃오일,Rose Flower Oil,,이 원료는 장미 Rosa spp.(장미목 장미과 장미속에 속하는 다양한 종류의 장미의 총칭) 꽃에서 얻은 휘발성 오일이다.,
장미꽃추출물,Rosa Hybrid Flower Extract,,이 원료는 장미의 꽃을 추출한 것이다.,
장미추출물,Rose Extract,,이 원료는 장미 Rosa spp.(장미목 장미과 장미속에 속하는 다양한 종류의 장미의 총칭)에서 추출한 것이다.,
장엽대황뿌리추출물,Rheum Palmatum Root Extract,,이 원료는 장엽대황 (Rheum palmatum)의 뿌리에서 추출한 것이다.,
커먼자스민꽃,Jasminum Officinale (Jasmine) Flower,,이 원료는 커먼자스민(Jasmine) Jasminum officinale의 꽃이다.,쟈스민꽃
